id,survey_response_id,network_id,survey_id,respondent_id,network,network_name,year,net_role,so_part_util_012021,so_part_util_022021,so_part_util_152021,so_part_t,so_part_expec,is_inqcyclechal_y_n,part_team_meetings_1,part_team_meetings_2,part_team_meet_32021,equity_dis_1,equity_dis_2,equity_dis_3,so_rt_12020,so_rt_72020,so_rt_22020,so_rt_32020,so_rt_62020,hsupport_st_lead_7,sch_support_st_lead_7,nl_netops_groupcom_1,nl_netops_groupcom_2,nl_netops_groupcom_3,recommend,gender,gender_v3,ethnicity_v3,ethnicity_v3_1,ethnicity_v3_2,ethnicity_v3_3,ethnicity_v3_4,ethnicity_v3_5,ethnicity_v3_6,ethnicity_v3_7,ethnicity_v3_7_text
AZMN_38,48451,9,491,577,AZMN,,2021,4,,,,,3,1,1,5,4,2,2,2,,,,,,,,,,,9,,2,5,0,0,0,0,1,0,0,
AZMN_39,48826,9,491,946,AZMN,,2021,3,,,,,4,1,1,5,4,5,5,5,,,,,,5,5,,,,10,,2,2,0,1,0,0,0,0,0,
AZMN_41,49200,9,491,1302,AZMN,,2021,4,,,,,1,3,1,2,4,3,3,3,,,,,,,,,,,5,,2,5,0,0,0,0,1,0,0,
AZMN_43,48394,9,491,522,AZMN,,2021,3,,,,,4,1,1,5,4,4,3,4,,,,,,2,4,,,,6,,2,5,0,0,0,0,1,0,0,
AZMN_44,48392,9,491,521,AZMN,,2021,4,,,,,3,1,1,5,4,2,2,2,,,,,,,,,,,10,,2,5,0,0,0,0,1,0,0,
AZMN_45,48895,9,491,1010,AZMN,,2021,4,,,,,3,3,1,5,4,1,1,1,,,,,,,,,,,8,,2,5,0,0,0,0,1,0,0,
AZMN_46,49201,9,491,1303,AZMN,,2021,4,,,,,4,3,1,4,2,1,1,1,,,,,,,,,,,6,,2,1,1,0,0,0,0,0,0,
AZMN_47,48369,9,491,500,AZMN,,2021,4,,,,,3,3,1,4,4,5,5,5,,,,,,,,,,,9,,2,5,0,0,0,0,1,0,0,
AZMN_48,48875,9,491,990,AZMN,,2021,1,,,,,3,,,,,,,,,,,,,,,,,,,,1,2,0,1,0,0,0,0,0,
AZMN_49,49155,9,491,1260,AZMN,,2021,1,,,,,3,,,,,,,,,,,,,,,,,,,,1,2,0,1,0,0,1,0,0,
AZMN_51,48903,9,491,1018,AZMN,,2021,3,,,,,2,1,1,5,2,4,1,4,,,,,,4,2,,,,8,,2,1,1,0,0,0,0,0,0,
AZMN_54,48750,9,491,871,AZMN,,2021,4,,,,,2,1,1,5,3,1,1,1,,,,,,,,,,,7,,2,1,1,0,0,0,0,0,0,
AZMN_55,50407,9,491,2632,AZMN,,2021,4,,,,,3,3,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,
AZMN_57,48377,9,491,508,AZMN,,2021,4,,,,,3,3,1,3,3,3,3,3,,,,,,,,,,,8,,2,1,1,0,0,0,0,0,0,
AZMN_58,48888,9,491,1003,AZMN,,2021,3,,,,,3,1,1,4,4,4,4,4,,,,,,4,4,,,,8,,1,5,0,0,0,0,1,0,0,
AZMN_59,48811,9,491,932,AZMN,,2021,4,,,,,4,1,1,5,5,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,
AZMN_61,48429,9,491,555,AZMN,,2021,3,,,,,2,1,1,5,4,4,2,2,,,,,,5,3,,,,10,,2,2,0,1,0,0,0,0,0,
AZMN_62,49497,9,491,1589,AZMN,,2021,4,,,,,3,1,1,5,4,2,2,3,,,,,,,,,,,10,,2,2,0,1,0,0,0,0,0,
AZMN_63,48730,9,491,851,AZMN,,2021,4,,,,,3,1,1,4,5,2,2,2,,,,,,,,,,,5,,2,6,0,0,0,0,0,1,0,
AZMN_65,48404,9,491,532,AZMN,,2021,4,,,,,3,1,1,4,4,4,3,3,,,,,,,,,,,9,,2,2,0,1,0,0,0,0,0,
AZMN_66,49160,9,491,1265,AZMN,,2021,1,,,,,3,,,,,,,,,,,,,,,,,,,,2,5,0,0,0,0,1,0,0,
AZMN_69,48919,9,491,1032,AZMN,,2021,4,,,,,4,1,1,4,5,1,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,
AZMN_71,48396,9,491,524,AZMN,,2021,4,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,
AZMN_72,50214,9,491,2287,AZMN,,2021,2,,,,,3,,2,,,,,,,,,,,,,,,,9,,2,5,0,0,0,0,1,0,0,
AZMN_74,48727,9,491,848,AZMN,,2021,3,,,,,3,1,1,5,4,1,1,1,,,,,,4,1,,,,9,,2,1,1,0,0,0,0,0,0,
AZMN_77,48803,9,491,924,AZMN,,2021,4,,,,,3,3,1,5,3,1,1,1,,,,,,,,,,,5,,2,4,0,0,0,1,0,0,0,
AZMN_78,48772,9,491,893,AZMN,,2021,4,,,,,2,3,1,4,4,4,1,4,,,,,,,,,,,10,,2,2,0,1,0,0,0,0,0,
AZMN_80,49285,9,491,1384,AZMN,,2021,2,,,,,3,,2,,,,,,,,,,,,,,,,9,,2,6,0,0,0,0,0,1,0,
AZMN_82,49280,9,491,1379,AZMN,,2021,3,,,,,5,1,1,5,4,2,2,2,,,,,,3,4,,,,8,,2,5,0,0,0,0,1,0,0,
AZMN_83,48832,9,491,951,AZMN,,2021,4,,,,,3,3,2,,,,,,,,,,,,,,,,9,,5,6,0,0,0,0,0,1,0,
AZMN_85,48368,9,491,499,AZMN,,2021,1,,,,,3,,,,,,,,,,,,,,,,,,,,1,5,0,0,0,0,1,0,0,
AZMN_86,50473,9,491,2694,AZMN,,2021,1,,,,,3,,,,,,,,,,,,,,,,,,,,2,2,0,1,0,0,0,0,0,
AZMN_87,49983,9,491,2065,AZMN,,2021,4,,,,,4,1,2,,,,,,,,,,,,,,,,9,,2,2,0,1,0,0,0,0,0,
AZMN_90,50456,9,491,2677,AZMN,,2021,4,,,,,4,1,1,4,5,3,3,3,,,,,,,,,,,4,,2,6,0,0,0,0,0,1,0,
AZMN_92,48399,9,491,527,AZMN,,2021,3,,,,,3,1,1,5,5,5,5,5,,,,,,5,5,,,,10,,2,5,0,0,0,0,1,0,0,
AZMN_93,48743,9,491,864,AZMN,,2021,2,,,,,1,,2,,,,,,,,,,,,,,,,5,,2,5,0,0,0,0,1,0,0,
AZMN_94,48909,9,491,1023,AZMN,,2021,4,,,,,3,1,1,4,4,1,1,1,,,,,,,,,,,7,,2,2,0,1,0,0,0,0,0,
AZMN_95,49062,9,491,1168,AZMN,,2021,3,,,,,4,1,1,5,4,2,1,1,,,,,,3,4,,,,7,,2,5,0,0,0,0,1,0,0,
BACT_01,49236,33,496,1338,BACT,,2021,4,5,5,4,4,2,3,1,5,5,,,,,,,,,,,,,,10,,2,5,0,0,0,0,1,0,0,
BACT_02,49254,33,496,1354,BACT,,2021,4,5,5,5,7,3,1,1,5,5,,,,,,,,,,,,,,10,,2,1,1,0,0,0,0,0,0,
BACT_05,49999,33,496,2081,BACT,,2021,4,5,5,4,4,4,1,1,5,5,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,
BACT_08,49233,33,496,1335,BACT,,2021,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,
BACT_09,49245,33,496,1347,BACT,,2021,4,5,5,9,7,5,1,1,5,5,,,,,,,,,,,,,,10,,1,1,1,0,0,0,0,0,0,
BACT_10,49303,33,496,1401,BACT,,2021,4,5,5,5,7,3,1,1,4,5,,,,,,,,,,,,,,9,,1,1,1,0,0,0,0,0,0,
BACT_11,50046,33,496,2127,BACT,,2021,4,2,3,4,6,4,1,1,4,5,,,,,,,,,,,,,,8,,2,1,1,0,0,0,0,0,0,
BACT_12,49363,33,496,1459,BACT,,2021,4,5,5,3,6,3,1,1,5,5,,,,,,,,,,,,,,9,,2,5,0,0,0,0,1,0,0,
BACT_14,49755,33,496,1842,BACT,,2021,4,5,5,5,5,3,1,1,4,5,,,,,,,,,,,,,,9,,2,1,1,0,0,0,0,0,0,
BACT_15,49230,33,496,1332,BACT,,2021,1,,,,,3,,,,,,,,,,,,,,,,,,,,2,5,0,0,0,0,1,0,0,
BACT_16,49388,33,496,1484,BACT,,2021,4,5,5,5,7,4,1,1,5,5,,,,,,,,,,,,,,10,,2,1,1,0,0,0,0,0,0,
BACT_17,49396,33,496,1492,BACT,,2021,4,4,4,4,7,3,3,1,5,5,,,,,,,,,,,,,,9,,1,5,0,0,0,0,1,0,0,
BACT_18,49438,33,496,1532,BACT,,2021,4,5,5,5,6,5,1,1,5,4,,,,,,,,,,,,,,10,,1,1,1,0,1,0,0,0,0,
BACT_19,49367,33,496,1463,BACT,,2021,4,5,5,5,6,4,1,1,5,3,,,,,,,,,,,,,,9,,1,5,0,0,0,0,1,0,0,
BACT_20,49235,33,496,1337,BACT,,2021,4,4,4,9,7,3,1,1,5,5,,,,,,,,,,,,,,10,,1,5,0,0,0,0,1,0,0,
BACT_21,49262,33,496,1361,BACT,,2021,4,5,5,5,5,3,1,1,5,5,,,,,,,,,,,,,,10,,2,1,1,0,0,0,0,0,0,
BACT_25,49383,33,496,1479,BACT,,2021,4,4,9,5,6,3,1,2,,,,,,,,,,,,,,,,9,,1,5,0,0,0,0,1,0,0,
BACT_26,50016,33,496,2098,BACT,,2021,1,,,,,2,,,,,,,,,,,,,,,,,,,,5,6,0,0,0,0,0,1,0,
BACT_29,49478,33,496,1570,BACT,,2021,4,2,4,2,5,3,1,1,4,5,,,,,,,,,,,,,,9,,2,5,0,0,0,0,1,0,0,
BACT_30,49899,33,496,1984,BACT,,2021,4,3,3,3,7,3,1,1,3,5,,,,,,,,,,,,,,7,,1,1,1,0,0,0,0,0,0,
BACT_31,49232,33,496,1334,BACT,,2021,1,,,,,5,,,,,,,,,,,,,,,,,,,,2,3,0,0,1,0,0,0,0,
BACT_34,49465,33,496,1558,BACT,,2021,4,4,4,5,7,3,1,1,5,5,,,,,,,,,,,,,,8,,1,7,0,0,0,0,0,0,1,Chicano
BACT_36,49237,33,496,1339,BACT,,2021,4,3,4,9,6,3,1,1,4,5,,,,,,,,,,,,,,6,,2,5,0,0,0,0,1,0,0,
BACT_37,49263,33,496,1362,BACT,,2021,4,4,5,5,3,3,1,1,5,5,,,,,,,,,,,,,,8,,2,5,0,0,0,0,1,0,0,
BACT_40,49491,33,496,1583,BACT,,2021,4,4,5,5,7,3,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,
BACT_41,50517,33,496,2736,BACT,,2021,4,5,5,5,7,5,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,
BARR_01,49149,17,478,1254,BARR,,2021,1,,,,,3,,,,,,,,,,,,,,,,,,,,2,5,0,0,0,0,1,0,0,
BARR_02,48445,17,478,571,BARR,,2021,4,,,,,1,2,1,2,4,,,,,,,,,,,,,,9,,2,5,0,0,0,0,1,0,0,
BARR_04,49139,17,478,1244,BARR,,2021,3,,,,,4,1,1,5,5,,,,,,,,,3,2,,,,10,,2,5,0,0,0,0,1,0,0,
BARR_05,48403,17,478,531,BARR,,2021,3,,,,,5,1,1,5,4,,,,,,,,,4,3,,,,6,,1,2,0,1,0,0,0,0,0,
BARR_08,48995,17,478,1103,BARR,,2021,1,,,,,3,,,,,,,,,,,,,,,,,,,,2,3,0,0,1,0,0,0,0,
BARR_10,48145,17,478,279,BARR,,2021,3,,,,,3,1,1,5,2,,,,,,,,,4,1,,,,9,,2,5,0,0,0,0,1,0,0,
BARR_11,50076,17,478,2157,BARR,,2021,4,,,,,3,1,1,4,5,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,
BARR_12,49416,17,478,1510,BARR,,2021,4,,,,,3,1,1,4,2,,,,,,,,,,,,,,5,,2,2,0,1,0,0,0,0,0,
BARR_13,48162,17,478,296,BARR,,2021,1,,,,,4,,,,,,,,,,,,,,,,,,,,2,5,0,0,0,0,1,0,0,
